DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20210227,27/02/2021,Saturday,February,Feb,2,1,2021
20210228,28/02/2021,Sunday,February,Feb,2,1,2021
20210301,01/03/2021,Monday,March,Mar,3,1,2021
20210302,02/03/2021,Tuesday,March,Mar,3,1,2021
20210303,03/03/2021,Wednesday,March,Mar,3,1,2021
20210304,04/03/2021,Thursday,March,Mar,3,1,2021
20210305,05/03/2021,Friday,March,Mar,3,1,2021
20210306,06/03/2021,Saturday,March,Mar,3,1,2021
20210307,07/03/2021,Sunday,March,Mar,3,1,2021
20210308,08/03/2021,Monday,March,Mar,3,1,2021
20210309,09/03/2021,Tuesday,March,Mar,3,1,2021
20210310,10/03/2021,Wednesday,March,Mar,3,1,2021
20210311,11/03/2021,Thursday,March,Mar,3,1,2021
20210312,12/03/2021,Friday,March,Mar,3,1,2021
20210313,13/03/2021,Saturday,March,Mar,3,1,2021
20210314,14/03/2021,Sunday,March,Mar,3,1,2021
20210315,15/03/2021,Monday,March,Mar,3,1,2021
20210316,16/03/2021,Tuesday,March,Mar,3,1,2021
20210317,17/03/2021,Wednesday,March,Mar,3,1,2021
20210318,18/03/2021,Thursday,March,Mar,3,1,2021
20210319,19/03/2021,Friday,March,Mar,3,1,2021
20210320,20/03/2021,Saturday,March,Mar,3,1,2021
20210321,21/03/2021,Sunday,March,Mar,3,1,2021
20210322,22/03/2021,Monday,March,Mar,3,1,2021
20210323,23/03/2021,Tuesday,March,Mar,3,1,2021
20210324,24/03/2021,Wednesday,March,Mar,3,1,2021
20210325,25/03/2021,Thursday,March,Mar,3,1,2021
20210326,26/03/2021,Friday,March,Mar,3,1,2021
20210327,27/03/2021,Saturday,March,Mar,3,1,2021
20210328,28/03/2021,Sunday,March,Mar,3,1,2021
20210329,29/03/2021,Monday,March,Mar,3,1,2021
20210330,30/03/2021,Tuesday,March,Mar,3,1,2021
20210331,31/03/2021,Wednesday,March,Mar,3,1,2021
20210401,01/04/2021,Thursday,April,Apr,4,2,2021
20210402,02/04/2021,Friday,April,Apr,4,2,2021
20210403,03/04/2021,Saturday,April,Apr,4,2,2021
20210404,04/04/2021,Sunday,April,Apr,4,2,2021
20210405,05/04/2021,Monday,April,Apr,4,2,2021
20210406,06/04/2021,Tuesday,April,Apr,4,2,2021
20210407,07/04/2021,Wednesday,April,Apr,4,2,2021
20210408,08/04/2021,Thursday,April,Apr,4,2,2021
20210409,09/04/2021,Friday,April,Apr,4,2,2021
20210410,10/04/2021,Saturday,April,Apr,4,2,2021
20210411,11/04/2021,Sunday,April,Apr,4,2,2021
20210412,12/04/2021,Monday,April,Apr,4,2,2021
20210413,13/04/2021,Tuesday,April,Apr,4,2,2021
20210414,14/04/2021,Wednesday,April,Apr,4,2,2021
20210415,15/04/2021,Thursday,April,Apr,4,2,2021
20210416,16/04/2021,Friday,April,Apr,4,2,2021
20210417,17/04/2021,Saturday,April,Apr,4,2,2021
20210418,18/04/2021,Sunday,April,Apr,4,2,2021
20210419,19/04/2021,Monday,April,Apr,4,2,2021
20210420,20/04/2021,Tuesday,April,Apr,4,2,2021
20210421,21/04/2021,Wednesday,April,Apr,4,2,2021
